"name_exercise";"muscle_group";"rating_exercise"
"Kneeling cable oblique crunch";"Abdominals";9.0
"Reverse Grip Triceps Pushdown";"Triceps";9.0
"Bear crawl sled drag";"Quadriceps";9.0
"Rocky Pull-Ups/Pulldowns";"Lats";9.0
"Snatch-Grip Behind-The-Neck Overhead Press";"Shoulders";9.0
"Box Squat with Bands";"Quadriceps";9.0
"Flexor Incline Dumbbell Curls";"Biceps";9.0
"Seated One-Arm Dumbbell Palms-Up Wrist Curl";"Forearms";9.0
"Machine Bicep Curl";"Biceps";9.0
"Seated Palms-Down Barbell Wrist Curl";"Forearms";9.0
"Car driver";"Shoulders";9.0
"Alternating Deltoid Raise";"Shoulders";9.0
"Hanging Oblique Knee Raise";"Abdominals";9.0
"Bodyweight Flyes";"Chest";9.0
"Standing Calf Raises";"Calves";9.0
"Push-Ups - Close Triceps Position";"Triceps";9.0
"One-Arm Long Bar Row";"Middle Back";9.0
"Overhead cable curl";"Biceps";9.0
"Single-dumbbell front raise";"Shoulders";9.0
"Incline cable chest fly";"Chest";9.0
"Single-leg depth squat";"Quadriceps";9.0
"Dumbbell suitcase crunch";"Abdominals";9.0
"Plate Twist";"Abdominals";9.0
"Single-leg cable hip extension";"Glutes";9.0
"Weighted Jump Squat";"Quadriceps";9.0
"Squat with Chains";"Quadriceps";9.0
"Gorilla Chin/Crunch";"Abdominals";9.0
"Kneeling cable triceps extension";"Triceps";9.0
"Kneeling Cable Crunch With Alternating Oblique Twists";"Abdominals";8.9
"Bicycling";"Quadriceps";8.9
"Arnold press";"Shoulders";8.9
"Weighted Crunches";"Abdominals";8.9
"Single-arm cable triceps extension";"Triceps";8.9
"Barbell roll-out";"Abdominals";8.9
"Kneeling cable crunch";"Abdominals";8.9
"Exercise Ball Pull-In";"Abdominals";8.9
"Hanging leg raise";"Abdominals";8.9
"Barbell Ab Rollout - On Knees";"Abdominals";8.9
"Barbell Squat";"Quadriceps";8.9
"Decline barbell bench press";"Chest";8.9
"Dumbbell Bicep Curl";"Biceps";8.9
"Dumbbell Goblet Squat";"Quadriceps";8.9
"Dumbbell squat";"Quadriceps";8.9
"Barbell front squat";"Quadriceps";8.9
"Close-grip pull-down";"Lats";8.9
"Triceps Pushdown - Rope Attachment";"Triceps";8.9
"Side-to-side box skip";"Quadriceps";8.9
"Smith machine shoulder press";"Shoulders";8.9
"Seated triceps press";"Triceps";8.9
"Dumbbell Lying Supination";"Forearms";8.9
"Pull-up";"Lats";8.9
"Wide-grip bench press";"Chest";8.9
"Close-grip EZ-bar curl";"Biceps";8.9
"T-Bar Row";"Middle Back";8.9
"Bent Over Two-Arm Long Bar Row";"Middle Back";8.9
"Muscle Up";"Lats";8.9
"Machine shoulder press";"Shoulders";8.9
"Incline EZ-bar skullcrusher";"Triceps";8.9
"Alternating sit-through with crunch";"Middle Back";8.9
"Wide-Grip Decline Barbell Bench Press";"Chest";8.9
"Rower";"Middle Back";8.9
"Snatch Deadlift";"Hamstrings";8.9
"Front Plate Raise";"Shoulders";8.9
"Decline Close-Grip Bench To Skull Crusher";"Triceps";8.9
"Lying Leg Curls";"Hamstrings";8.9
"Cross-body hammer curl";"Biceps";8.9
"Shotgun row";"Lats";8.9
"Ab Roller";"Abdominals";8.9
"Reverse-grip incline dumbbell bench press";"Chest";8.9
"Leg Press";"Quadriceps";8.8
"Stiff-Legged Dumbbell Deadlift";"Hamstrings";8.8
"Cable Crossover";"Chest";8.8
"Barbell Incline Bench Press Medium-Grip";"Chest";8.8
"Incline Dumbbell Flyes";"Chest";8.8
"Seated Cable Rows";"Middle Back";8.8
"Tricep Dumbbell Kickback";"Triceps";8.8
"Otis-Up";"Abdominals";8.8
"Mountain climber";"Abdominals";8.8
"Ab bicycle";"Abdominals";8.8
"Barbell forward lunge";"Quadriceps";8.8
"3/4 sit-up";"Abdominals";8.8
"Exercise ball leg curl";"Hamstrings";8.8
"Glute bridge";"Glutes";8.8
"Close-Grip Front Lat Pulldown";"Lats";8.8
"Dip Machine";"Triceps";8.8
"Incline dumbbell row";"Middle Back";8.8
"Dumbbell Lunges";"Quadriceps";8.8
"Single-arm standing shoulder press";"Shoulders";8.8
"Preacher Curl";"Biceps";8.8
"Reverse crunch";"Abdominals";8.8
"Standing Dumbbell Triceps Extension";"Triceps";8.8
"Elliptical trainer";"Quadriceps";8.8
"Bodyweight squat";"Quadriceps";8.8
"Bent Over Two-Dumbbell Row With Palms In";"Middle Back";8.8
"Hex-bar deadlift";"Quadriceps";8.8
"Narrow-stance leg press";"Quadriceps";8.8
"Single-leg glute bridge";"Glutes";8.8
"Barbell Curls Lying Against An Incline";"Biceps";8.8
"Standing Hip Circles";"Abductors";8.8
"Clam";"Abductors";8.8
"Narrow Stance Hack Squats";"Quadriceps";8.8
"Seated Close-Grip Concentration Barbell Curl";"Biceps";8.8
"Dumbbell Lying Pronation";"Forearms";8.8
"Smith machine box squat";"Quadriceps";8.8
"Drop Push";"Chest";8.8
"Upside-down pull-up";"Middle Back";8.8
"Reverse Barbell Preacher Curls";"Biceps";8.8
"Close-grip EZ-bar bench press";"Chest";8.8
"Incline Push-Up";"Chest";8.8
"Hyperextensions With No Hyperextension Bench";"Lower Back";8.8
"Dumbbell front raise";"Shoulders";8.8
"Parallel Bar Dip";"Triceps";8.8
"Stairmaster";"Quadriceps";8.8
"Double Leg Butt Kick";"Quadriceps";8.8
"Groiners";"Adductors";8.8
"Neck Press";"Chest";8.8
